player,season,tm,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,trb,ast,stl,blk,tov,pf,pts,avg_mp,avg_fg,avg_fga,avg_3p,avg_3pa,avg_2p,avg_2pa,avg_ft,avg_fta,avg_pts,avg_orb,avg_trb,avg_ast,avg_blk,avg_stl,avg_tov,avg_pf
Erica Wheeler,2018,IND,G,34,22,737,99,282,0.351,21,76,0.276,78,206,0.379,0.388,47,59,0.797,20,100,141,28,6,48,77,266,21.7,2.9,8.3,0.6,2.2,2.3,6.1,1.4,1.7,7.8,0.6,2.9,4.1,0.2,0.8,1.4,2.3
Sami Whitcomb,2018,SEA,G,31,0,265,30,86,0.349,25,69,0.362,5,17,0.294,0.494,6,6,1,5,29,16,16,4,15,20,91,8.5,1,2.8,0.8,2.2,0.2,0.5,0.2,0.2,2.9,0.2,0.9,0.5,0.1,0.5,0.5,0.6
Sydney Wiese,2018,LAS,G,11,0,36,0,4,0,0,4,0,0,0,NA,0,0,0,NA,0,3,2,0,0,1,5,0,3.3,0,0.4,0,0.4,0,0,0,0,0,0,0.3,0.2,0,0,0.1,0.5
Courtney Williams,2018,CON,G,30,29,812,171,375,0.456,20,53,0.377,151,322,0.469,0.483,17,25,0.68,46,178,90,23,2,54,47,379,27.1,5.7,12.5,0.7,1.8,5,10.7,0.6,0.8,12.6,1.5,5.9,3,0.1,0.8,1.8,1.6
Elizabeth Williams,2018,ATL,C-F,33,32,885,121,221,0.548,0,0,NA,121,221,0.548,0.548,58,103,0.563,71,190,46,26,59,41,88,300,26.8,3.7,6.7,0,0,3.7,6.7,1.8,3.1,9.1,2.2,5.8,1.4,1.8,0.8,1.2,2.7
Gabby Williams,2018,CHI,F,34,30,781,102,236,0.432,7,26,0.269,95,210,0.452,0.447,36,46,0.783,42,146,56,56,8,38,66,247,23,3,6.9,0.2,0.8,2.8,6.2,1.1,1.4,7.3,1.2,4.3,1.6,0.2,1.6,1.1,1.9
Riquna Williams,2018,LAS,G,33,3,546,81,199,0.407,48,128,0.375,33,71,0.465,0.528,24,30,0.8,12,46,22,22,3,16,52,234,16.5,2.5,6,1.5,3.9,1,2.2,0.7,0.9,7.1,0.4,1.4,0.7,0.1,0.7,0.5,1.6
A'ja Wilson,2018,LVA,F,33,33,1010,245,530,0.462,0,0,NA,245,530,0.462,0.462,192,248,0.774,66,264,74,28,55,47,68,682,30.6,7.4,16.1,0,0,7.4,16.1,5.8,7.5,20.7,2,8,2.2,1.7,0.8,1.4,2.1
Imani Wright,2018,PHO,,1,0,1,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tanisha Wright,2018,MIN,G,33,4,586,51,133,0.383,19,48,0.396,32,85,0.376,0.455,20,27,0.741,11,53,65,16,4,42,63,141,17.8,1.5,4,0.6,1.5,1,2.6,0.6,0.8,4.3,0.3,1.6,2,0.1,0.5,1.3,1.9
Tamera Young,2018,LVA,F,33,25,881,129,316,0.408,4,13,0.308,125,303,0.413,0.415,65,92,0.707,36,168,91,32,6,55,68,327,26.7,3.9,9.6,0.1,0.4,3.8,9.2,2,2.8,9.9,1.1,5.1,2.8,0.2,1,1.7,2.1
Amanda Zahui B.,2018,NYL,C,29,0,460,90,180,0.5,21,61,0.344,69,119,0.58,0.558,23,38,0.605,37,87,21,11,12,45,80,224,15.9,3.1,6.2,0.7,2.1,2.4,4.1,0.8,1.3,7.7,1.3,3,0.7,0.4,0.4,1.6,2.8
Cecilia Zandalasini,2018,MIN,F,29,6,478,61,149,0.409,23,60,0.383,38,89,0.427,0.487,21,25,0.84,6,54,32,8,1,31,51,166,16.5,2.1,5.1,0.8,2.1,1.3,3.1,0.7,0.9,5.7,0.2,1.9,1.1,0,0.3,1.1,1.8
Shavonte Zellous,2018,NYL,G,22,22,531,63,149,0.423,8,30,0.267,55,119,0.462,0.45,46,61,0.754,6,69,65,13,5,27,57,180,24.1,2.9,6.8,0.4,1.4,2.5,5.4,2.1,2.8,8.2,0.3,3.1,3,0.2,0.6,1.2,2.6
Natalie Achonwa,2019,IND,F,30,18,636,99,203,0.488,3,12,0.25,96,191,0.503,0.495,60,66,0.909,48,156,48,18,20,29,77,261,21.2,3.3,6.8,0.1,0.4,3.2,6.4,2,2.2,8.7,1.6,5.2,1.6,0.7,0.6,1,2.6
Kayla Alexander,2019,CHI,C,3,0,20,3,4,0.75,0,0,NA,3,4,0.75,0.75,3,4,0.75,2,7,1,0,0,1,3,9,6.7,1,1.3,0,0,1,1.3,1,1.3,3,0.7,2.3,0.3,0,0,0.3,1
Rebecca Allen,2019,NYL,G,24,2,412,65,156,0.417,29,68,0.426,36,88,0.409,0.51,13,16,0.813,12,61,17,12,18,17,51,172,17.2,2.7,6.5,1.2,2.8,1.5,3.7,0.5,0.7,7.2,0.5,2.5,0.7,0.8,0.5,0.7,2.1
Jillian Alleyne,2019,MIN,,5,0,14,2,6,0.333,0,0,NA,2,6,0.333,0.333,0,0,NA,2,5,1,0,1,0,0,4,2.8,0.4,1.2,0,0,0.4,1.2,0,0,0.8,0.4,1,0.2,0.2,0,0,0
Kristine Anigwe,2019,CON,F-C,17,0,121,11,35,0.314,0,0,NA,11,35,0.314,0.314,12,17,0.706,14,30,3,6,4,10,17,34,7.1,0.6,2.1,0,0,0.6,2.1,0.7,1,2,0.8,1.8,0.2,0.2,0.4,0.6,1
Kristine Anigwe,2019,DAL,F-C,10,0,129,11,33,0.333,0,0,NA,11,33,0.333,0.333,10,15,0.667,14,36,3,3,4,7,22,32,12.9,1.1,3.3,0,0,1.1,3.3,1,1.5,3.2,1.4,3.6,0.3,0.4,0.3,0.7,2.2
Kristine Anigwe,2019,TOT,F-C,27,0,250,22,68,0.324,0,0,NA,22,68,0.324,0.324,22,32,0.688,28,66,6,9,8,17,39,66,9.3,0.8,2.5,0,0,0.8,2.5,0.8,1.2,2.4,1,2.4,0.2,0.3,0.3,0.6,1.4
