player,season,tm,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,trb,ast,stl,blk,tov,pf,pts,avg_mp,avg_fg,avg_fga,avg_3p,avg_3pa,avg_2p,avg_2pa,avg_ft,avg_fta,avg_pts,avg_orb,avg_trb,avg_ast,avg_blk,avg_stl,avg_tov,avg_pf
Swin Cash,2012,CHI,F,34,34,1021,126,343,0.367,32,114,0.281,94,229,0.41,0.414,75,98,0.765,55,197,79,34,17,94,81,359,30,3.7,10.1,0.9,3.4,2.8,6.7,2.2,2.9,10.6,1.6,5.8,2.3,0.5,1,2.8,2.4
Iziane Castro Marques,2012,WAS,F-G,11,0,132,14,53,0.264,1,6,0.167,13,47,0.277,0.274,5,7,0.714,4,12,8,3,0,8,8,34,12,1.3,4.8,0.1,0.5,1.2,4.3,0.5,0.6,3.1,0.4,1.1,0.7,0,0.3,0.7,0.7
Tamika Catchings,2012,IND,F,34,34,1036,200,463,0.432,50,132,0.379,150,331,0.453,0.486,140,162,0.864,62,258,107,70,29,59,84,590,30.5,5.9,13.6,1.5,3.9,4.4,9.7,4.1,4.8,17.4,1.8,7.6,3.1,0.9,2.1,1.7,2.5
Tina Charles,2012,CON,C,33,33,1096,250,501,0.499,1,5,0.2,249,496,0.502,0.5,93,116,0.802,123,345,57,17,47,74,64,594,33.2,7.6,15.2,0,0.2,7.5,15,2.8,3.5,18,3.7,10.5,1.7,1.4,0.5,2.2,1.9
Karima Christmas-Kelly,2012,IND,F-G,16,0,174,16,51,0.314,7,22,0.318,9,29,0.31,0.382,7,14,0.5,13,36,13,13,4,8,11,46,10.9,1,3.2,0.4,1.4,0.6,1.8,0.4,0.9,2.9,0.8,2.2,0.8,0.2,0.8,0.5,0.7
Karima Christmas-Kelly,2012,TOT,F-G,30,6,335,30,93,0.323,12,38,0.316,18,55,0.327,0.387,24,37,0.649,28,63,16,27,8,14,33,96,11.2,1,3.1,0.4,1.3,0.6,1.8,0.8,1.2,3.2,0.9,2.1,0.5,0.3,0.9,0.5,1.1
Karima Christmas-Kelly,2012,TUL,F-G,14,6,161,14,42,0.333,5,16,0.313,9,26,0.346,0.393,17,23,0.739,15,27,3,14,4,6,22,50,11.5,1,3,0.4,1.1,0.6,1.9,1.2,1.6,3.6,1.1,1.9,0.2,0.3,1,0.4,1.6
Shameka Christon,2012,SAS,G,34,31,695,83,232,0.358,54,158,0.342,29,74,0.392,0.474,50,64,0.781,17,67,43,18,16,20,41,270,20.4,2.4,6.8,1.6,4.6,0.9,2.2,1.5,1.9,7.9,0.5,2,1.3,0.5,0.5,0.6,1.2
Alysha Clark,2012,SEA,F,23,0,238,29,53,0.547,9,20,0.45,20,33,0.606,0.632,12,17,0.706,13,47,7,5,1,19,27,79,10.3,1.3,2.3,0.4,0.9,0.9,1.4,0.5,0.7,3.4,0.6,2,0.3,0,0.2,0.8,1.2
Marissa Coleman,2012,LAS,G-F,34,2,548,37,116,0.319,14,55,0.255,23,61,0.377,0.379,18,20,0.9,24,87,36,21,8,24,44,106,16.1,1.1,3.4,0.4,1.6,0.7,1.8,0.5,0.6,3.1,0.7,2.6,1.1,0.2,0.6,0.7,1.3
Monique Currie,2012,WAS,F,34,28,820,129,319,0.404,22,80,0.275,107,239,0.448,0.439,127,164,0.774,28,122,59,35,7,59,85,407,24.1,3.8,9.4,0.6,2.4,3.1,7,3.7,4.8,12,0.8,3.6,1.7,0.2,1,1.7,2.5
Jessica Davenport,2012,IND,C,34,2,514,84,179,0.469,1,3,0.333,83,176,0.472,0.472,60,81,0.741,35,115,22,23,26,51,62,229,15.1,2.5,5.3,0,0.1,2.4,5.2,1.8,2.4,6.7,1,3.4,0.6,0.8,0.7,1.5,1.8
Erika de Souza,2012,ATL,F-C,15,15,449,79,151,0.523,0,0,NA,79,151,0.523,0.523,16,23,0.696,48,123,24,20,23,31,45,174,29.9,5.3,10.1,0,0,5.3,10.1,1.1,1.5,11.6,3.2,8.2,1.6,1.5,1.3,2.1,3
Scholanda Dorrell,2012,TUL,G,26,8,385,37,113,0.327,16,50,0.32,21,63,0.333,0.398,20,30,0.667,13,32,13,25,3,25,46,110,14.8,1.4,4.3,0.6,1.9,0.8,2.4,0.8,1.2,4.2,0.5,1.2,0.5,0.1,1,1,1.8
Katie Douglas,2012,IND,G-F,32,32,990,184,445,0.413,80,189,0.423,104,256,0.406,0.503,81,96,0.844,33,121,71,48,10,53,55,529,30.9,5.8,13.9,2.5,5.9,3.2,8,2.5,3,16.5,1,3.8,2.2,0.3,1.5,1.7,1.7
Victoria Dunlap,2012,SEA,F,5,0,28,3,10,0.3,0,1,0,3,9,0.333,0.3,7,10,0.7,7,11,1,0,0,3,4,13,5.6,0.6,2,0,0.2,0.6,1.8,1.4,2,2.6,1.4,2.2,0.2,0,0,0.6,0.8
Candice Dupree,2012,PHO,F,13,12,345,71,147,0.483,0,1,0,71,146,0.486,0.483,30,37,0.811,16,62,17,8,7,27,20,172,26.5,5.5,11.3,0,0.1,5.5,11.2,2.3,2.8,13.2,1.2,4.8,1.3,0.5,0.6,2.1,1.5
Dawn Evans,2012,LAS,G,3,0,15,1,5,0.2,0,4,0,1,1,1,0.2,0,0,NA,0,0,3,1,0,2,1,2,5,0.3,1.7,0,1.3,0.3,0.3,0,0,0.7,0,0,1,0,0.3,0.7,0.3
Sylvia Fowles,2012,CHI,C,25,25,778,157,246,0.638,0,0,NA,157,246,0.638,0.638,92,133,0.692,94,260,21,33,30,53,55,406,31.1,6.3,9.8,0,0,6.3,9.8,3.7,5.3,16.2,3.8,10.4,0.8,1.2,1.3,2.1,2.2
Briana Gilbreath-Butler,2012,PHO,G,11,2,258,24,71,0.338,14,37,0.378,10,34,0.294,0.437,15,19,0.789,14,40,12,5,5,14,15,77,23.5,2.2,6.5,1.3,3.4,0.9,3.1,1.4,1.7,7,1.3,3.6,1.1,0.5,0.5,1.3,1.4
Sasha Goodlett,2012,IND,C,26,0,197,33,74,0.446,0,0,NA,33,74,0.446,0.446,14,20,0.7,18,41,6,8,7,9,17,80,7.6,1.3,2.8,0,0,1.3,2.8,0.5,0.8,3.1,0.7,1.6,0.2,0.3,0.3,0.3,0.7
Alexis Gray-Lawson,2012,PHO,G,19,0,318,30,102,0.294,6,38,0.158,24,64,0.375,0.324,19,26,0.731,14,38,23,7,3,18,40,85,16.7,1.6,5.4,0.3,2,1.3,3.4,1,1.4,4.5,0.7,2,1.2,0.2,0.4,0.9,2.1
Kalana Greene,2012,CON,G,34,31,605,53,121,0.438,5,22,0.227,48,99,0.485,0.459,32,46,0.696,18,63,57,39,7,27,45,143,17.8,1.6,3.6,0.1,0.6,1.4,2.9,0.9,1.4,4.2,0.5,1.9,1.7,0.2,1.1,0.8,1.3
Kelsey Griffin,2012,CON,F,31,6,375,34,99,0.343,3,15,0.2,31,84,0.369,0.359,24,34,0.706,29,90,15,18,10,27,37,95,12.1,1.1,3.2,0.1,0.5,1,2.7,0.8,1.1,3.1,0.9,2.9,0.5,0.3,0.6,0.9,1.2
Becky Hammon,2012,SAS,G,33,33,998,160,363,0.441,80,184,0.435,80,179,0.447,0.551,85,97,0.876,9,83,176,31,6,106,37,485,30.2,4.8,11,2.4,5.6,2.4,5.4,2.6,2.9,14.7,0.3,2.5,5.3,0.2,0.9,3.2,1.1
Lindsey Harding,2012,ATL,G,34,32,1040,157,369,0.425,14,58,0.241,143,311,0.46,0.444,90,110,0.818,16,95,153,46,7,70,47,418,30.6,4.6,10.9,0.4,1.7,4.2,9.1,2.6,3.2,12.3,0.5,2.8,4.5,0.2,1.4,2.1,1.4
Amber Harris,2012,MIN,F,27,0,240,36,89,0.404,7,18,0.389,29,71,0.408,0.444,15,22,0.682,10,50,15,9,13,15,27,94,8.9,1.3,3.3,0.3,0.7,1.1,2.6,0.6,0.8,3.5,0.4,1.9,0.6,0.5,0.3,0.6,1
Tiffany Hayes,2012,ATL,G,34,17,787,90,231,0.39,21,77,0.273,69,154,0.448,0.435,92,117,0.786,24,105,73,28,12,51,89,293,23.1,2.6,6.8,0.6,2.3,2,4.5,2.7,3.4,8.6,0.7,3.1,2.1,0.4,0.8,1.5,2.6
Aneika Henry-Morello,2012,ATL,F-C,34,14,613,65,139,0.468,0,0,NA,65,139,0.468,0.468,32,42,0.762,53,140,15,16,30,28,70,162,18,1.9,4.1,0,0,1.9,4.1,0.9,1.2,4.8,1.6,4.1,0.4,0.9,0.5,0.8,2.1
Allison Hightower,2012,CON,G,34,29,827,90,256,0.352,18,76,0.237,72,180,0.4,0.387,32,35,0.914,21,79,84,43,5,47,79,230,24.3,2.6,7.5,0.5,2.2,2.1,5.3,0.9,1,6.8,0.6,2.3,2.5,0.1,1.3,1.4,2.3
Roneeka Hodges,2012,IND,G,12,0,107,14,44,0.318,7,27,0.259,7,17,0.412,0.398,3,6,0.5,2,7,7,3,6,4,3,38,8.9,1.2,3.7,0.6,2.2,0.6,1.4,0.2,0.5,3.2,0.2,0.6,0.6,0.5,0.2,0.3,0.2
Roneeka Hodges,2012,TOT,G,32,16,617,87,218,0.399,48,136,0.353,39,82,0.476,0.509,20,28,0.714,11,61,44,19,10,37,20,242,19.3,2.7,6.8,1.5,4.2,1.2,2.6,0.6,0.9,7.6,0.3,1.9,1.4,0.3,0.6,1.2,0.6
Roneeka Hodges,2012,TUL,G,20,16,510,73,174,0.42,41,109,0.376,32,65,0.492,0.537,17,22,0.773,9,54,37,16,4,33,17,204,25.5,3.6,8.7,2,5.4,1.6,3.2,0.8,1.1,10.2,0.4,2.7,1.9,0.2,0.8,1.6,0.8
Ebony Hoffman,2012,LAS,F,20,0,208,18,52,0.346,5,19,0.263,13,33,0.394,0.394,8,10,0.8,13,42,9,13,1,13,30,49,10.4,0.9,2.6,0.2,0.9,0.7,1.6,0.4,0.5,2.5,0.7,2.1,0.4,0,0.7,0.7,1.5
Amber Holt,2012,TUL,F,24,18,456,57,134,0.425,17,49,0.347,40,85,0.471,0.489,9,16,0.563,10,45,28,11,0,16,25,140,19,2.4,5.6,0.7,2,1.7,3.5,0.4,0.7,5.8,0.4,1.9,1.2,0,0.5,0.7,1
Alexis Hornbuckle,2012,PHO,G,34,25,865,86,257,0.335,26,80,0.325,60,177,0.339,0.385,23,38,0.605,45,142,68,42,17,72,98,221,25.4,2.5,7.6,0.8,2.4,1.8,5.2,0.7,1.1,6.5,1.3,4.2,2,0.5,1.2,2.1,2.9
Charde Houston,2012,PHO,F,27,20,694,126,309,0.408,39,112,0.348,87,197,0.442,0.471,34,47,0.723,29,93,44,34,10,52,80,325,25.7,4.7,11.4,1.4,4.1,3.2,7.3,1.3,1.7,12,1.1,3.4,1.6,0.4,1.3,1.9,3
Lauren Jackson,2012,SEA,F-C,9,9,167,34,80,0.425,6,29,0.207,28,51,0.549,0.463,18,25,0.72,7,50,2,4,7,12,20,92,18.6,3.8,8.9,0.7,3.2,3.1,5.7,2,2.8,10.2,0.8,5.6,0.2,0.8,0.4,1.3,2.2
Briann January,2012,IND,G,31,26,879,99,245,0.404,46,107,0.43,53,138,0.384,0.498,76,87,0.874,13,55,122,36,4,76,78,320,28.4,3.2,7.9,1.5,3.5,1.7,4.5,2.5,2.8,10.3,0.4,1.8,3.9,0.1,1.2,2.5,2.5
Glory Johnson,2012,TUL,F,34,28,958,131,272,0.482,0,0,NA,131,272,0.482,0.482,130,192,0.677,95,232,38,73,20,71,103,392,28.2,3.9,8,0,0,3.9,8,3.8,5.6,11.5,2.8,6.8,1.1,0.6,2.1,2.1,3
Shenise Johnson,2012,SAS,G,34,1,581,68,187,0.364,21,51,0.412,47,136,0.346,0.42,35,41,0.854,55,131,46,27,6,37,50,192,17.1,2,5.5,0.6,1.5,1.4,4,1,1.2,5.6,1.6,3.9,1.4,0.2,0.8,1.1,1.5
Temeka Johnson,2012,TUL,G,29,28,833,128,308,0.416,34,64,0.531,94,244,0.385,0.471,63,75,0.84,18,93,135,34,1,79,70,353,28.7,4.4,10.6,1.2,2.2,3.2,8.4,2.2,2.6,12.2,0.6,3.2,4.7,0,1.2,2.7,2.4
Asjha Jones,2012,CON,F,20,19,558,102,229,0.445,4,12,0.333,98,217,0.452,0.454,35,39,0.897,49,141,39,19,11,51,61,243,27.9,5.1,11.4,0.2,0.6,4.9,10.8,1.8,2,12.2,2.5,7,2,0.6,0.9,2.5,3
Lynetta Kizer,2012,PHO,F,15,0,234,44,99,0.444,3,4,0.75,41,95,0.432,0.46,16,17,0.941,25,51,7,6,2,16,32,107,15.6,2.9,6.6,0.2,0.3,2.7,6.3,1.1,1.1,7.1,1.7,3.4,0.5,0.1,0.4,1.1,2.1
Lynetta Kizer,2012,TOT,F,22,0,300,47,116,0.405,3,6,0.5,44,110,0.4,0.418,29,31,0.935,32,66,7,10,2,19,39,126,13.6,2.1,5.3,0.1,0.3,2,5,1.3,1.4,5.7,1.5,3,0.3,0.1,0.5,0.9,1.8
Lynetta Kizer,2012,TUL,F,7,0,66,3,17,0.176,0,2,0,3,15,0.2,0.176,13,14,0.929,7,15,0,4,0,3,7,19,9.4,0.4,2.4,0,0.3,0.4,2.1,1.9,2,2.7,1,2.1,0,0,0.6,0.4,1
Ewelina Kobryn,2012,SEA,C,33,6,438,56,136,0.412,10,27,0.37,46,109,0.422,0.449,36,50,0.72,16,78,15,16,14,41,46,158,13.3,1.7,4.1,0.3,0.8,1.4,3.3,1.1,1.5,4.8,0.5,2.4,0.5,0.4,0.5,1.2,1.4
Laurie Koehn,2012,ATL,G,23,0,112,14,41,0.341,13,39,0.333,1,2,0.5,0.5,0,0,NA,2,10,3,2,0,6,4,41,4.9,0.6,1.8,0.6,1.7,0,0.1,0,0,1.8,0.1,0.4,0.1,0,0.1,0.3,0.2
Cathrine Kraayeveld,2012,ATL,F,33,1,507,56,133,0.421,35,87,0.402,21,46,0.457,0.553,5,15,0.333,17,92,28,14,16,26,32,152,15.4,1.7,4,1.1,2.6,0.6,1.4,0.2,0.5,4.6,0.5,2.8,0.8,0.5,0.4,0.8,1
Jennifer Lacy,2012,TUL,F,26,6,573,77,198,0.389,44,109,0.404,33,89,0.371,0.5,24,37,0.649,25,68,22,16,9,36,76,222,22,3,7.6,1.7,4.2,1.3,3.4,0.9,1.4,8.5,1,2.6,0.8,0.3,0.6,1.4,2.9
Natasha Lacy,2012,WAS,G,20,1,259,29,81,0.358,5,21,0.238,24,60,0.4,0.389,14,18,0.778,10,42,25,13,5,23,27,77,12.9,1.4,4,0.2,1,1.2,3,0.7,0.9,3.9,0.5,2.1,1.2,0.2,0.7,1.1,1.4
Crystal Langhorne,2012,WAS,F-C,31,31,999,190,338,0.562,1,8,0.125,189,330,0.573,0.564,75,117,0.641,75,194,42,46,4,75,65,456,32.2,6.1,10.9,0,0.3,6.1,10.6,2.4,3.8,14.7,2.4,6.3,1.4,0.1,1.5,2.4,2.1
Erlana Larkins,2012,IND,F,34,2,526,55,108,0.509,0,0,NA,55,108,0.509,0.509,31,36,0.861,70,148,36,34,5,34,62,141,15.5,1.6,3.2,0,0,1.6,3.2,0.9,1.1,4.1,2.1,4.4,1.1,0.1,1,1,1.8
Ivory Latta,2012,TUL,G,34,18,962,175,407,0.43,69,177,0.39,106,230,0.461,0.515,68,81,0.84,14,75,111,31,3,73,75,487,28.3,5.1,12,2,5.2,3.1,6.8,2,2.4,14.3,0.4,2.2,3.3,0.1,0.9,2.1,2.2
Jantel Lavender,2012,LAS,F,34,1,490,81,160,0.506,0,0,NA,81,160,0.506,0.506,27,32,0.844,50,134,18,9,18,38,56,189,14.4,2.4,4.7,0,0,2.4,4.7,0.8,0.9,5.6,1.5,3.9,0.5,0.5,0.3,1.1,1.6
Kara Lawson,2012,CON,G,34,34,1066,169,343,0.493,74,172,0.43,95,171,0.556,0.601,100,107,0.935,17,131,136,27,5,60,40,512,31.4,5,10.1,2.2,5.1,2.8,5,2.9,3.1,15.1,0.5,3.9,4,0.1,0.8,1.8,1.2
Yelena Leuchanka,2012,ATL,C,19,5,260,24,63,0.381,0,1,0,24,62,0.387,0.381,10,14,0.714,16,52,12,9,9,28,34,58,13.7,1.3,3.3,0,0.1,1.3,3.3,0.5,0.7,3.1,0.8,2.7,0.6,0.5,0.5,1.5,1.8
Camille Little,2012,SEA,F,34,34,947,130,274,0.474,11,33,0.333,119,241,0.494,0.495,113,153,0.739,52,175,63,24,17,93,93,384,27.9,3.8,8.1,0.3,1,3.5,7.1,3.3,4.5,11.3,1.5,5.1,1.9,0.5,0.7,2.7,2.7
Sancho Lyttle,2012,ATL,F,34,34,1074,199,483,0.412,28,110,0.255,171,373,0.458,0.441,50,66,0.758,47,259,85,82,23,88,100,476,31.6,5.9,14.2,0.8,3.2,5,11,1.5,1.9,14,1.4,7.6,2.5,0.7,2.4,2.6,2.9
Angel McCoughtry,2012,ATL,F-G,24,17,718,177,396,0.447,28,83,0.337,149,313,0.476,0.482,132,165,0.8,50,119,69,60,27,95,56,514,29.9,7.4,16.5,1.2,3.5,6.2,13,5.5,6.9,21.4,2.1,5,2.9,1.1,2.5,4,2.3
Danielle McCray,2012,CON,F,28,8,389,39,124,0.315,20,60,0.333,19,64,0.297,0.395,37,41,0.902,14,56,33,17,0,28,41,135,13.9,1.4,4.4,0.7,2.1,0.7,2.3,1.3,1.5,4.8,0.5,2,1.2,0,0.6,1,1.5
Taj McWilliams-Franklin,2012,MIN,F-C,33,33,879,122,235,0.519,2,5,0.4,120,230,0.522,0.523,30,40,0.75,55,177,84,34,46,66,75,276,26.6,3.7,7.1,0.1,0.2,3.6,7,0.9,1.2,8.4,1.7,5.4,2.5,1.4,1,2,2.3
Coco Miller,2012,LAS,G,10,1,141,11,37,0.297,2,6,0.333,9,31,0.29,0.324,2,2,1,9,27,11,2,0,13,4,26,14.1,1.1,3.7,0.2,0.6,0.9,3.1,0.2,0.2,2.6,0.9,2.7,1.1,0,0.2,1.3,0.4
Kelly Miller,2012,NYL,G,11,0,82,4,24,0.167,1,11,0.091,3,13,0.231,0.188,2,2,1,1,8,6,3,0,9,10,11,7.5,0.4,2.2,0.1,1,0.3,1.2,0.2,0.2,1,0.1,0.7,0.5,0,0.3,0.8,0.9
DeLisha Milton-Jones,2012,LAS,F,34,34,926,123,295,0.417,29,89,0.326,94,206,0.456,0.466,65,79,0.823,48,150,60,34,24,63,95,340,27.2,3.6,8.7,0.9,2.6,2.8,6.1,1.9,2.3,10,1.4,4.4,1.8,0.7,1,1.9,2.8
Leilani Mitchell,2012,NYL,G,34,25,908,79,193,0.409,53,129,0.411,26,64,0.406,0.547,9,12,0.75,21,84,103,35,5,53,72,220,26.7,2.3,5.7,1.6,3.8,0.8,1.9,0.3,0.4,6.5,0.6,2.5,3,0.1,1,1.6,2.1
Alex Montgomery,2012,NYL,G-F,26,0,210,24,64,0.375,8,23,0.348,16,41,0.39,0.438,8,11,0.727,17,48,11,15,2,14,23,64,8.1,0.9,2.5,0.3,0.9,0.6,1.6,0.3,0.4,2.5,0.7,1.8,0.4,0.1,0.6,0.5,0.9
Renee Montgomery,2012,CON,G,34,0,816,116,333,0.348,47,129,0.364,69,204,0.338,0.419,117,138,0.848,8,63,89,35,3,76,52,396,24,3.4,9.8,1.4,3.8,2,6,3.4,4.1,11.6,0.2,1.9,2.6,0.1,1,2.2,1.5
Jessica Moore,2012,ATL,F-C,8,0,43,6,9,0.667,0,0,NA,6,9,0.667,0.667,3,4,0.75,5,10,0,0,0,6,8,15,5.4,0.8,1.1,0,0,0.8,1.1,0.4,0.5,1.9,0.6,1.2,0,0,0,0.8,1
Jessica Moore,2012,CON,F-C,8,0,65,3,11,0.273,0,0,NA,3,11,0.273,0.273,6,8,0.75,3,7,2,0,0,3,10,12,8.1,0.4,1.4,0,0,0.4,1.4,0.8,1,1.5,0.4,0.9,0.2,0,0,0.4,1.2
Jessica Moore,2012,TOT,F-C,16,0,108,9,20,0.45,0,0,NA,9,20,0.45,0.45,9,12,0.75,8,17,2,0,0,9,18,27,6.8,0.6,1.2,0,0,0.6,1.2,0.6,0.8,1.7,0.5,1.1,0.1,0,0,0.6,1.1
Maya Moore,2012,MIN,F,34,34,1011,199,428,0.465,73,188,0.388,126,240,0.525,0.55,87,99,0.879,71,205,124,50,22,62,86,558,29.7,5.9,12.6,2.1,5.5,3.7,7.1,2.6,2.9,16.4,2.1,6,3.6,0.6,1.5,1.8,2.5
Jene Morris,2012,TUL,G,9,1,82,6,16,0.375,4,9,0.444,2,7,0.286,0.5,1,2,0.5,5,9,2,6,0,4,11,17,9.1,0.7,1.8,0.4,1,0.2,0.8,0.1,0.2,1.9,0.6,1,0.2,0,0.7,0.4,1.2
Ziomara Morrison,2012,SAS,C,30,0,166,22,52,0.423,6,10,0.6,16,42,0.381,0.481,9,11,0.818,13,36,2,3,3,13,26,59,5.5,0.7,1.7,0.2,0.3,0.5,1.4,0.3,0.4,2,0.4,1.2,0.1,0.1,0.1,0.4,0.9
Shay Murphy,2012,CHI,G,29,3,538,87,207,0.42,45,102,0.441,42,105,0.4,0.529,27,37,0.73,30,84,27,32,6,30,45,246,18.6,3,7.1,1.6,3.5,1.4,3.6,0.9,1.3,8.5,1,2.9,0.9,0.2,1.1,1,1.6
Natalie Novosel,2012,WAS,G,31,0,306,34,101,0.337,9,41,0.22,25,60,0.417,0.381,22,29,0.759,19,41,23,14,3,19,16,99,9.9,1.1,3.3,0.3,1.3,0.8,1.9,0.7,0.9,3.2,0.6,1.3,0.7,0.1,0.5,0.6,0.5
Nneka Ogwumike,2012,LAS,F,33,33,920,178,333,0.535,1,7,0.143,177,326,0.543,0.536,105,143,0.734,98,247,40,46,29,42,87,462,27.9,5.4,10.1,0,0.2,5.4,9.9,3.2,4.3,14,3,7.5,1.2,0.9,1.4,1.3,2.6
Jenna O'Hea,2012,LAS,F,8,0,144,13,25,0.52,7,14,0.5,6,11,0.545,0.66,5,7,0.714,8,20,16,3,1,6,14,38,18,1.6,3.1,0.9,1.8,0.8,1.4,0.6,0.9,4.8,1,2.5,2,0.1,0.4,0.8,1.8
Courtney Paris,2012,ATL,C,4,0,29,3,6,0.5,0,0,NA,3,6,0.5,0.5,0,4,0,3,8,0,2,2,1,5,6,7.2,0.8,1.5,0,0,0.8,1.5,0,1,1.5,0.8,2,0,0.5,0.5,0.2,1.2
Courtney Paris,2012,TOT,C,27,0,254,39,72,0.542,0,0,NA,39,72,0.542,0.542,9,27,0.333,36,85,11,9,12,15,30,87,9.4,1.4,2.7,0,0,1.4,2.7,0.3,1,3.2,1.3,3.1,0.4,0.4,0.3,0.6,1.1
