player,tm,zone,stat,value,shots,percent,FGA
Jasmine Thomas,CON,mid,FGM,28,made,45.2,62
Jaylyn Agnew,ATL,mid,FGM,0,made,0,1
Jazmine Jones,NYL,mid,FGM,10,made,33.3,30
Jewell Loyd,SEA,mid,FGM,31,made,44.9,69
Jocelyn Willoughby,NYL,mid,FGM,8,made,47.1,17
Jordin Canada,SEA,mid,FGM,16,made,35.6,45
Joyner Holmes,NYL,mid,FGM,2,made,15.4,13
Julie Allemand,IND,mid,FGM,5,made,27.8,18
Kaela Davis,ATL,mid,FGM,0,made,0,0
Kahleah Copper,CHI,mid,FGM,31,made,45.6,68
Kaila Charles,CON,mid,FGM,5,made,31.3,16
Kalani Brown,ATL,mid,FGM,2,made,50,4
Kaleena Mosqueda-Lewis,CON,mid,FGM,3,made,33.3,9
Kamiah Smalls,IND,mid,FGM,1,made,33.3,3
Karima Christmas-Kelly,MIN,mid,FGM,0,made,0,1
Kathleen Doyle,IND,mid,FGM,1,made,12.5,8
Katie Lou Samuelson,DAL,mid,FGM,1,made,8.3,12
Kayla Alexander,MIN,mid,FGM,3,made,60,5
Kayla Mcbride,LVA,mid,FGM,32,made,45.1,71
Kayla Thornton,DAL,mid,FGM,4,made,26.7,15
Kelsey Mitchell,IND,mid,FGM,23,made,45.1,51
Kennedy Burke,IND,mid,FGM,3,made,25,12
Kia Nurse,NYL,mid,FGM,7,made,22.6,31
Kia Vaughn,PHO,mid,FGM,26,made,41.3,63
Kiah Stokes,NYL,mid,FGM,2,made,40,5
Kiara Leslie,WAS,mid,FGM,2,made,11.8,17
Kristine Anigwe,LAS,mid,FGM,2,made,28.6,7
Kylee Shook,NYL,mid,FGM,8,made,47.1,17
Lauren Cox,IND,mid,FGM,3,made,27.3,11
Layshia Clarendon,NYL,mid,FGM,2,made,22.2,9
Leaonna Odom,NYL,mid,FGM,2,made,33.3,6
Leilani Mitchell,WAS,mid,FGM,11,made,45.8,24
Lexie Brown,MIN,mid,FGM,11,made,35.5,31
Lindsay Allen,LVA,mid,FGM,6,made,33.3,18
Marie G‹Lich,LAS,mid,FGM,1,made,33.3,3
Marina Mabrey,DAL,mid,FGM,4,made,25,16
Megan Gustafson,DAL,mid,FGM,0,made,0,2
Megan Huff,LVA,mid,FGM,0,made,0,1
Megan Walker,NYL,mid,FGM,4,made,33.3,12
Mercedes Russell,SEA,mid,FGM,4,made,28.6,14
Mikiah Herbert Harrigan,MIN,mid,FGM,9,made,33.3,27
Monique Billings,ATL,mid,FGM,12,made,26.1,46
Morgan Tuck,SEA,mid,FGM,0,made,0,1
Moriah Jefferson,DAL,mid,FGM,3,made,33.3,9
Myisha Hines-Allen,WAS,mid,FGM,19,made,44.2,43
Napheesa Collier,MIN,mid,FGM,14,made,31.1,45
Natalie Achonwa,IND,mid,FGM,17,made,40.5,42
Natasha Howard,SEA,mid,FGM,4,made,36.4,11
