player,tm,zone,stat,value,shots,percent,FGA
Breanna Stewart,SEA,break,FGM,35,made,36.8,95
Bria Hartley,PHO,break,FGM,25,made,39.1,64
Bria Holmes,CON,break,FGM,10,made,33.3,30
Briann January,CON,break,FGM,11,made,36.7,30
Brianna Turner,PHO,break,FGM,0,made,0,1
Bridget Carleton,MIN,break,FGM,18,made,45,40
Brionna Jones,CON,break,FGM,1,made,100,1
Brittany Brewer,ATL,break,FGM,0,made,0,0
Brittney Griner,PHO,break,FGM,0,made,0,0
Brittney Sykes,LAS,break,FGM,12,made,30,40
Candace Parker,LAS,break,FGM,17,made,38.6,44
Candice Dupree,IND,break,FGM,3,made,16.7,18
Carolyn Swords,LVA,break,FGM,0,made,0,0
Chelsea Gray,LAS,break,FGM,17,made,29.3,58
Chennedy Carter,ATL,break,FGM,11,made,36.7,30
Cheyenne Parker,CHI,break,FGM,15,made,48.4,31
Cierra Burdick,LVA,break,FGM,0,made,0,0
Courtney Vandersloot,CHI,break,FGM,28,made,39.4,71
Courtney Williams,ATL,break,FGM,8,made,25.8,31
Crystal Dangerfield,MIN,break,FGM,33,made,33.7,98
Crystal Langhorne,SEA,break,FGM,1,made,20,5
Damiris Dantas,MIN,break,FGM,38,made,43.2,88
Danielle Robinson,LVA,break,FGM,5,made,45.5,11
Dewanna Bonner,CON,break,FGM,26,made,25.5,102
Dearica Hamby,LVA,break,FGM,16,made,47.1,34
Diamond Deshields,CHI,break,FGM,2,made,14.3,14
Diana Taurasi,PHO,break,FGM,61,made,37,165
Elizabeth Williams,ATL,break,FGM,0,made,0,0
Emma Cannon,LVA,break,FGM,0,made,0,0
Emma Meesseman,WAS,break,FGM,13,made,30.2,43
Epiphanny Prince,SEA,break,FGM,9,made,33.3,27
Erica Mccall,MIN,break,FGM,1,made,25,4
Essence Carson,CON,break,FGM,11,made,26.8,41
Ezi Magbegor,SEA,break,FGM,1,made,33.3,3
Gabby Williams,CHI,break,FGM,19,made,29.7,64
Glory Johnson,ATL,break,FGM,11,made,26.2,42
Isabelle Harrison,DAL,break,FGM,0,made,0,3
Jacki Gemelos,WAS,break,FGM,7,made,23.3,30
Jackie Young,LVA,break,FGM,3,made,23.1,13
Jasmine Thomas,CON,break,FGM,18,made,32.7,55
Jaylyn Agnew,ATL,break,FGM,2,made,16.7,12
Jazmine Jones,NYL,break,FGM,13,made,32.5,40
Jewell Loyd,SEA,break,FGM,31,made,36.5,85
Jocelyn Willoughby,NYL,break,FGM,15,made,41.7,36
Jordin Canada,SEA,break,FGM,1,made,9.1,11
Joyner Holmes,NYL,break,FGM,2,made,7.7,26
Julie Allemand,IND,break,FGM,43,made,47.8,90
Kaela Davis,ATL,break,FGM,0,made,0,0
Kahleah Copper,CHI,break,FGM,19,made,32.8,58
Kaila Charles,CON,break,FGM,10,made,35.7,28
Kalani Brown,ATL,break,FGM,0,made,0,0
Kaleena Mosqueda-Lewis,CON,break,FGM,10,made,23.3,43
Kamiah Smalls,IND,break,FGM,6,made,66.7,9
Karima Christmas-Kelly,MIN,break,FGM,0,made,0,3
Kathleen Doyle,IND,break,FGM,5,made,25,20
Katie Lou Samuelson,DAL,break,FGM,19,made,32.8,58
Kayla Alexander,MIN,break,FGM,0,made,0,0
Kayla Mcbride,LVA,break,FGM,25,made,35.7,70
Kayla Thornton,DAL,break,FGM,23,made,33.8,68
Kelsey Mitchell,IND,break,FGM,56,made,39.4,142
Kennedy Burke,IND,break,FGM,13,made,28.3,46
Kia Nurse,NYL,break,FGM,30,made,23.6,127
Kia Vaughn,PHO,break,FGM,0,made,0,2
Kiah Stokes,NYL,break,FGM,20,made,26.3,76
Kiara Leslie,WAS,break,FGM,15,made,34.9,43
Kristine Anigwe,LAS,break,FGM,0,made,0,0
Kylee Shook,NYL,break,FGM,3,made,18.8,16
Lauren Cox,IND,break,FGM,3,made,60,5
Layshia Clarendon,NYL,break,FGM,15,made,34.9,43
Leaonna Odom,NYL,break,FGM,2,made,13.3,15
Leilani Mitchell,WAS,break,FGM,26,made,29.5,88
Lexie Brown,MIN,break,FGM,14,made,28.6,49
Lindsay Allen,LVA,break,FGM,5,made,31.3,16
Marie G‹Lich,LAS,break,FGM,0,made,0,3
Marina Mabrey,DAL,break,FGM,36,made,40.9,88
Megan Gustafson,DAL,break,FGM,0,made,0,1
Megan Huff,LVA,break,FGM,0,made,0,1
Megan Walker,NYL,break,FGM,6,made,15,40
Mercedes Russell,SEA,break,FGM,0,made,0,0
Mikiah Herbert Harrigan,MIN,break,FGM,13,made,41.9,31
Monique Billings,ATL,break,FGM,0,made,0,0
Morgan Tuck,SEA,break,FGM,2,made,33.3,6
Moriah Jefferson,DAL,break,FGM,2,made,40,5
Myisha Hines-Allen,WAS,break,FGM,26,made,43.3,60
Napheesa Collier,MIN,break,FGM,18,made,39.1,46
Natalie Achonwa,IND,break,FGM,0,made,0,10
Natasha Howard,SEA,break,FGM,6,made,31.6,19
Natisha Hiedeman,CON,break,FGM,23,made,36.5,63
Nia Coffey,PHO,break,FGM,7,made,35,20
Nneka Ogwumike,LAS,break,FGM,9,made,50,18
Odyssey Sims,MIN,break,FGM,8,made,33.3,24
Paris Kea,NYL,break,FGM,13,made,39.4,33
Rachel Banham,MIN,break,FGM,22,made,44,50
Reshanda Gray,LAS,break,FGM,0,made,0,0
Riquna Williams,LAS,break,FGM,36,made,39.6,91
Ruthy Hebard,CHI,break,FGM,0,made,0,0
Sabrina Ionescu,NYL,break,FGM,7,made,36.8,19
Sami Whitcomb,SEA,break,FGM,29,made,38.7,75
Satou Sabally,DAL,break,FGM,10,made,16.7,60
Seimone Augustus,LAS,break,FGM,12,made,54.5,22
Shatori Walker-Kimbrough,PHO,break,FGM,20,made,46.5,43
Shekinna Stricklen,ATL,break,FGM,33,made,34.4,96
Shenise Johnson,MIN,break,FGM,6,made,37.5,16
Shey Peddy,PHO,break,FGM,3,made,9.4,32
Skylar Diggins-Smith,PHO,break,FGM,43,made,39.4,109
Sophie Cunningham,PHO,break,FGM,9,made,20.9,43
Stefanie Dolson,CHI,break,FGM,12,made,37.5,32
Stella Johnson,WAS,break,FGM,9,made,64.3,14
Stephanie Mavunga,CHI,break,FGM,0,made,0,5
Sue Bird,SEA,break,FGM,19,made,42.2,45
Sug Sutton,WAS,break,FGM,5,made,31.3,16
Sugar Rodgers,LVA,break,FGM,19,made,31.7,60
Sydney Colson,CHI,break,FGM,3,made,33.3,9
Sydney Wiese,LAS,break,FGM,23,made,46,50
Sylvia Fowles,MIN,break,FGM,0,made,0,0
Te'a Cooper,LAS,break,FGM,10,made,38.5,26
Teaira Mccowan,IND,break,FGM,0,made,0,3
Theresa Plaisance,CON,break,FGM,5,made,29.4,17
Tianna Hawkins,WAS,break,FGM,17,made,30.4,56
Tierra Ruffin-Pratt,LAS,break,FGM,5,made,41.7,12
Tiffany Mitchell,IND,break,FGM,14,made,21.2,66
Tyasha Harris,DAL,break,FGM,18,made,34.6,52
Victoria Vivians,IND,break,FGM,1,made,11.1,9
A'ja Wilson,LVA,restricted,missed,21,missed,75.3,85
Aerial Powers,WAS,restricted,missed,0,missed,100,5
Alaina Coates,WAS,restricted,missed,5,missed,75,20
Alanna Smith,PHO,restricted,missed,9,missed,69,29
Alexis Jones,ATL,restricted,missed,0,missed,0,0
Alexis Prince,CHI,restricted,missed,0,missed,0,0
Alisia Jenkins,PHO,restricted,missed,1,missed,0,1
Allie Quigley,CHI,restricted,missed,3,missed,78.6,14
Allisha Gray,DAL,restricted,missed,7,missed,82.1,39
Alysha Clark,SEA,restricted,missed,8,missed,76.5,34
Alyssa Thomas,CON,restricted,missed,30,missed,65.1,86
Amanda Zahui B,NYL,restricted,missed,10,missed,64.3,28
Angel Mccoughtry,LVA,restricted,missed,19,missed,68.9,61
Ariel Atkins,WAS,restricted,missed,6,missed,70,20
Arike Ogunbowale,DAL,restricted,missed,13,missed,75.5,53
Astou Ndour,DAL,restricted,missed,0,missed,100,9
Avery Warley-Talbert,LVA,restricted,missed,2,missed,60,5
Azur¡ Stevens,CHI,restricted,missed,5,missed,83.3,30
Beatrice Mompremier,CON,restricted,missed,9,missed,55,20
Bella Alarie,DAL,restricted,missed,8,missed,61.9,21
Betnijah Laney,ATL,restricted,missed,14,missed,77.4,62
Blake Dietrick,ATL,restricted,missed,7,missed,61.1,18
Breanna Stewart,SEA,restricted,missed,15,missed,74.6,59
Bria Hartley,PHO,restricted,missed,8,missed,65.2,23
Bria Holmes,CON,restricted,missed,11,missed,50,22
Briann January,CON,restricted,missed,4,missed,20,5
Brianna Turner,PHO,restricted,missed,25,missed,62.7,67
Bridget Carleton,MIN,restricted,missed,4,missed,73.3,15
Brionna Jones,CON,restricted,missed,29,missed,69.8,96
Brittany Brewer,ATL,restricted,missed,0,missed,100,1
Brittney Griner,PHO,restricted,missed,15,missed,65.9,44
Brittney Sykes,LAS,restricted,missed,13,missed,66.7,39
Candace Parker,LAS,restricted,missed,22,missed,74.4,86
Candice Dupree,IND,restricted,missed,11,missed,71.1,38
Carolyn Swords,LVA,restricted,missed,7,missed,68.2,22
Chelsea Gray,LAS,restricted,missed,14,missed,65,40
Chennedy Carter,ATL,restricted,missed,15,missed,70.6,51
Cheyenne Parker,CHI,restricted,missed,21,missed,69.1,68
Cierra Burdick,LVA,restricted,missed,0,missed,100,1
Courtney Vandersloot,CHI,restricted,missed,16,missed,74.2,62
Courtney Williams,ATL,restricted,missed,9,missed,60.9,23
Crystal Dangerfield,MIN,restricted,missed,19,missed,64.2,53
Crystal Langhorne,SEA,restricted,missed,0,missed,100,3
Damiris Dantas,MIN,restricted,missed,11,missed,73.2,41
Danielle Robinson,LVA,restricted,missed,10,missed,72.2,36
Dewanna Bonner,CON,restricted,missed,28,missed,66.3,83
Dearica Hamby,LVA,restricted,missed,26,missed,72,93
Diamond Deshields,CHI,restricted,missed,5,missed,75,20
Diana Taurasi,PHO,restricted,missed,3,missed,72.7,11
Elizabeth Williams,ATL,restricted,missed,40,missed,60.4,101
Emma Cannon,LVA,restricted,missed,NA,missed,NA,NA
Emma Meesseman,WAS,restricted,missed,15,missed,60.5,38
Epiphanny Prince,SEA,restricted,missed,2,missed,0,2
Erica Mccall,MIN,restricted,missed,4,missed,73.3,15
Essence Carson,CON,restricted,missed,4,missed,50,8
Ezi Magbegor,SEA,restricted,missed,15,missed,71.7,53
Gabby Williams,CHI,restricted,missed,9,missed,74.3,35
Glory Johnson,ATL,restricted,missed,2,missed,77.8,9
Isabelle Harrison,DAL,restricted,missed,6,missed,66.7,18
Jacki Gemelos,WAS,restricted,missed,3,missed,50,6
Jackie Young,LVA,restricted,missed,10,missed,68.8,32
Jasmine Thomas,CON,restricted,missed,14,missed,57.6,33
Jaylyn Agnew,ATL,restricted,missed,0,missed,0,0
Jazmine Jones,NYL,restricted,missed,14,missed,68.2,44
Jewell Loyd,SEA,restricted,missed,11,missed,71.1,38
Jocelyn Willoughby,NYL,restricted,missed,23,missed,36.1,36
Jordin Canada,SEA,restricted,missed,13,missed,67.5,40
Joyner Holmes,NYL,restricted,missed,8,missed,55.6,18
Julie Allemand,IND,restricted,missed,4,missed,66.7,12
Kaela Davis,ATL,restricted,missed,0,missed,0,0
Kahleah Copper,CHI,restricted,missed,23,missed,71.3,80
Kaila Charles,CON,restricted,missed,8,missed,63.6,22
Kalani Brown,ATL,restricted,missed,4,missed,69.2,13
Kaleena Mosqueda-Lewis,CON,restricted,missed,0,missed,100,2
Kamiah Smalls,IND,restricted,missed,1,missed,50,2
Karima Christmas-Kelly,MIN,restricted,missed,0,missed,100,1
Kathleen Doyle,IND,restricted,missed,2,missed,60,5
Katie Lou Samuelson,DAL,restricted,missed,1,missed,91.7,12
Kayla Alexander,MIN,restricted,missed,1,missed,85.7,7
Kayla Mcbride,LVA,restricted,missed,8,missed,52.9,17
Kayla Thornton,DAL,restricted,missed,2,missed,87.5,16
Kelsey Mitchell,IND,restricted,missed,17,missed,67.9,53
Kennedy Burke,IND,restricted,missed,6,missed,80.6,31
Kia Nurse,NYL,restricted,missed,20,missed,52.4,42
Kia Vaughn,PHO,restricted,missed,7,missed,72,25
Kiah Stokes,NYL,restricted,missed,15,missed,61.5,39
Kiara Leslie,WAS,restricted,missed,10,missed,50,20
Kristine Anigwe,LAS,restricted,missed,3,missed,88.9,27
Kylee Shook,NYL,restricted,missed,4,missed,75,16
Lauren Cox,IND,restricted,missed,5,missed,54.5,11
Layshia Clarendon,NYL,restricted,missed,8,missed,80,40
Leaonna Odom,NYL,restricted,missed,13,missed,69,42
Leilani Mitchell,WAS,restricted,missed,11,missed,63.3,30
Lexie Brown,MIN,restricted,missed,7,missed,58.8,17
Lindsay Allen,LVA,restricted,missed,4,missed,76.5,17
Marie G‹Lich,LAS,restricted,missed,2,missed,77.8,9
Marina Mabrey,DAL,restricted,missed,6,missed,66.7,18
Megan Gustafson,DAL,restricted,missed,3,missed,40,5
Megan Huff,LVA,restricted,missed,0,missed,0,0
Megan Walker,NYL,restricted,missed,1,missed,90,10
Mercedes Russell,SEA,restricted,missed,12,missed,61.3,31
Mikiah Herbert Harrigan,MIN,restricted,missed,2,missed,75,8
Monique Billings,ATL,restricted,missed,25,missed,58.3,60
Morgan Tuck,SEA,restricted,missed,2,missed,50,4
Moriah Jefferson,DAL,restricted,missed,3,missed,66.7,9
Myisha Hines-Allen,WAS,restricted,missed,30,missed,63.9,83
Napheesa Collier,MIN,restricted,missed,13,missed,82.2,73
Natalie Achonwa,IND,restricted,missed,12,missed,68.4,38
Natasha Howard,SEA,restricted,missed,27,missed,66.3,80
Natisha Hiedeman,CON,restricted,missed,4,missed,75,16
Nia Coffey,PHO,restricted,missed,0,missed,100,1
Nneka Ogwumike,LAS,restricted,missed,18,missed,75,72
Odyssey Sims,MIN,restricted,missed,13,missed,56.7,30
Paris Kea,NYL,restricted,missed,7,missed,30,10
Rachel Banham,MIN,restricted,missed,2,missed,77.8,9
Reshanda Gray,LAS,restricted,missed,1,missed,75,4
Riquna Williams,LAS,restricted,missed,5,missed,64.3,14
Ruthy Hebard,CHI,restricted,missed,5,missed,86.5,37
Sabrina Ionescu,NYL,restricted,missed,0,missed,100,4
Sami Whitcomb,SEA,restricted,missed,10,missed,60,25
Satou Sabally,DAL,restricted,missed,15,missed,64.3,42
Seimone Augustus,LAS,restricted,missed,0,missed,100,3
Shatori Walker-Kimbrough,PHO,restricted,missed,9,missed,52.6,19
Shekinna Stricklen,ATL,restricted,missed,8,missed,27.3,11
Shenise Johnson,MIN,restricted,missed,11,missed,31.3,16
Shey Peddy,PHO,restricted,missed,3,missed,66.7,9
Skylar Diggins-Smith,PHO,restricted,missed,23,missed,58.2,55
Sophie Cunningham,PHO,restricted,missed,8,missed,61.9,21
Stefanie Dolson,CHI,restricted,missed,2,missed,85.7,14
Stella Johnson,WAS,restricted,missed,3,missed,62.5,8
Stephanie Mavunga,CHI,restricted,missed,1,missed,87.5,8
Sue Bird,SEA,restricted,missed,1,missed,75,4
Sug Sutton,WAS,restricted,missed,0,missed,100,2
Sugar Rodgers,LVA,restricted,missed,1,missed,50,2
Sydney Colson,CHI,restricted,missed,1,missed,50,2
Sydney Wiese,LAS,restricted,missed,6,missed,73.9,23
Sylvia Fowles,MIN,restricted,missed,6,missed,79.3,29
Te'a Cooper,LAS,restricted,missed,14,missed,62.2,37
Teaira Mccowan,IND,restricted,missed,20,missed,71.8,71
Theresa Plaisance,CON,restricted,missed,0,missed,100,1
Tianna Hawkins,WAS,restricted,missed,5,missed,80,25
Tierra Ruffin-Pratt,LAS,restricted,missed,4,missed,42.9,7
Tiffany Mitchell,IND,restricted,missed,17,missed,55.3,38
Tyasha Harris,DAL,restricted,missed,7,missed,58.8,17
Victoria Vivians,IND,restricted,missed,1,missed,66.7,3
A'ja Wilson,LVA,paint,missed,80,missed,42.4,139
Aerial Powers,WAS,paint,missed,7,missed,56.3,16
Alaina Coates,WAS,paint,missed,9,missed,18.2,11
Alanna Smith,PHO,paint,missed,12,missed,40,20
Alexis Jones,ATL,paint,missed,0,missed,0,0
Alexis Prince,CHI,paint,missed,0,missed,100,1
Alisia Jenkins,PHO,paint,missed,1,missed,50,2
Allie Quigley,CHI,paint,missed,24,missed,46.7,45
Allisha Gray,DAL,paint,missed,33,missed,44.1,59
Alysha Clark,SEA,paint,missed,17,missed,46.9,32
Alyssa Thomas,CON,paint,missed,84,missed,41.3,143
Amanda Zahui B,NYL,paint,missed,17,missed,26.1,23
Angel Mccoughtry,LVA,paint,missed,35,missed,50,70
Ariel Atkins,WAS,paint,missed,22,missed,33.3,33
Arike Ogunbowale,DAL,paint,missed,66,missed,40.5,111
Astou Ndour,DAL,paint,missed,5,missed,37.5,8
Avery Warley-Talbert,LVA,paint,missed,2,missed,0,2
Azur¡ Stevens,CHI,paint,missed,15,missed,42.3,26
Beatrice Mompremier,CON,paint,missed,10,missed,33.3,15
Bella Alarie,DAL,paint,missed,19,missed,29.6,27
Betnijah Laney,ATL,paint,missed,40,missed,46.7,75
Blake Dietrick,ATL,paint,missed,8,missed,52.9,17
Breanna Stewart,SEA,paint,missed,40,missed,43.7,71
Bria Hartley,PHO,paint,missed,15,missed,51.6,31
Bria Holmes,CON,paint,missed,22,missed,33.3,33
Briann January,CON,paint,missed,9,missed,0,9
Brianna Turner,PHO,paint,missed,15,missed,58.3,36
Bridget Carleton,MIN,paint,missed,13,missed,48,25
Brionna Jones,CON,paint,missed,12,missed,63.6,33
Brittany Brewer,ATL,paint,missed,0,missed,0,0
Brittney Griner,PHO,paint,missed,51,missed,44.6,92
Brittney Sykes,LAS,paint,missed,14,missed,54.8,31
Candace Parker,LAS,paint,missed,43,missed,41.9,74
Candice Dupree,IND,paint,missed,35,missed,49.3,69
Carolyn Swords,LVA,paint,missed,11,missed,35.3,17
Chelsea Gray,LAS,paint,missed,36,missed,48.6,70
Chennedy Carter,ATL,paint,missed,42,missed,43.2,74
Cheyenne Parker,CHI,paint,missed,30,missed,47.4,57
Cierra Burdick,LVA,paint,missed,0,missed,0,0
Courtney Vandersloot,CHI,paint,missed,36,missed,25,48
Courtney Williams,ATL,paint,missed,40,missed,45.2,73
Crystal Dangerfield,MIN,paint,missed,27,missed,55.7,61
Crystal Langhorne,SEA,paint,missed,4,missed,33.3,6
Damiris Dantas,MIN,paint,missed,34,missed,38.2,55
Danielle Robinson,LVA,paint,missed,24,missed,42.9,42
Dewanna Bonner,CON,paint,missed,45,missed,44.4,81
Dearica Hamby,LVA,paint,missed,33,missed,41.1,56
Diamond Deshields,CHI,paint,missed,14,missed,39.1,23
Diana Taurasi,PHO,paint,missed,12,missed,36.8,19
Elizabeth Williams,ATL,paint,missed,41,missed,38.8,67
Emma Cannon,LVA,paint,missed,0,missed,0,0
Emma Meesseman,WAS,paint,missed,42,missed,50,84
Epiphanny Prince,SEA,paint,missed,10,missed,37.5,16
Erica Mccall,MIN,paint,missed,12,missed,0,12
Essence Carson,CON,paint,missed,15,missed,21.1,19
Ezi Magbegor,SEA,paint,missed,25,missed,44.4,45
Gabby Williams,CHI,paint,missed,17,missed,37,27
Glory Johnson,ATL,paint,missed,9,missed,47.1,17
Isabelle Harrison,DAL,paint,missed,18,missed,43.8,32
Jacki Gemelos,WAS,paint,missed,4,missed,42.9,7
Jackie Young,LVA,paint,missed,41,missed,46.8,77
Jasmine Thomas,CON,paint,missed,22,missed,26.7,30
Jaylyn Agnew,ATL,paint,missed,0,missed,100,1
Jazmine Jones,NYL,paint,missed,38,missed,26.9,52
Jewell Loyd,SEA,paint,missed,31,missed,32.6,46
Jocelyn Willoughby,NYL,paint,missed,16,missed,15.8,19
Jordin Canada,SEA,paint,missed,24,missed,33.3,36
Joyner Holmes,NYL,paint,missed,6,missed,53.8,13
Julie Allemand,IND,paint,missed,7,missed,36.4,11
Kaela Davis,ATL,paint,missed,0,missed,0,0
Kahleah Copper,CHI,paint,missed,34,missed,40.4,57
Kaila Charles,CON,paint,missed,19,missed,34.5,29
Kalani Brown,ATL,paint,missed,5,missed,16.7,6
Kaleena Mosqueda-Lewis,CON,paint,missed,4,missed,33.3,6
Kamiah Smalls,IND,paint,missed,3,missed,0,3
Karima Christmas-Kelly,MIN,paint,missed,2,missed,0,2
Kathleen Doyle,IND,paint,missed,6,missed,14.3,7
Katie Lou Samuelson,DAL,paint,missed,3,missed,75,12
Kayla Alexander,MIN,paint,missed,11,missed,38.9,18
Kayla Mcbride,LVA,paint,missed,27,missed,47.1,51
Kayla Thornton,DAL,paint,missed,13,missed,45.8,24
Kelsey Mitchell,IND,paint,missed,37,missed,38.3,60
Kennedy Burke,IND,paint,missed,22,missed,38.9,36
Kia Nurse,NYL,paint,missed,38,missed,17.4,46
Kia Vaughn,PHO,paint,missed,19,missed,48.6,37
Kiah Stokes,NYL,paint,missed,3,missed,62.5,8
Kiara Leslie,WAS,paint,missed,15,missed,37.5,24
Kristine Anigwe,LAS,paint,missed,13,missed,31.6,19
Kylee Shook,NYL,paint,missed,20,missed,31,29
Lauren Cox,IND,paint,missed,9,missed,40,15
Layshia Clarendon,NYL,paint,missed,41,missed,37.9,66
Leaonna Odom,NYL,paint,missed,18,missed,40,30
Leilani Mitchell,WAS,paint,missed,16,missed,46.7,30
Lexie Brown,MIN,paint,missed,8,missed,27.3,11
Lindsay Allen,LVA,paint,missed,11,missed,21.4,14
Marie G‹Lich,LAS,paint,missed,6,missed,45.5,11
Marina Mabrey,DAL,paint,missed,19,missed,42.4,33
Megan Gustafson,DAL,paint,missed,4,missed,33.3,6
Megan Huff,LVA,paint,missed,1,missed,0,1
Megan Walker,NYL,paint,missed,7,missed,46.2,13
Mercedes Russell,SEA,paint,missed,24,missed,27.3,33
Mikiah Herbert Harrigan,MIN,paint,missed,13,missed,7.1,14
Monique Billings,ATL,paint,missed,43,missed,32.8,64
Morgan Tuck,SEA,paint,missed,1,missed,50,2
Moriah Jefferson,DAL,paint,missed,12,missed,36.8,19
Myisha Hines-Allen,WAS,paint,missed,55,missed,48.6,107
Napheesa Collier,MIN,paint,missed,51,missed,45.2,93
Natalie Achonwa,IND,paint,missed,11,missed,56,25
Natasha Howard,SEA,paint,missed,30,missed,43.4,53
Natisha Hiedeman,CON,paint,missed,17,missed,22.7,22
Nia Coffey,PHO,paint,missed,3,missed,40,5
Nneka Ogwumike,LAS,paint,missed,24,missed,40,40
Odyssey Sims,MIN,paint,missed,18,missed,35.7,28
Paris Kea,NYL,paint,missed,5,missed,37.5,8
Rachel Banham,MIN,paint,missed,15,missed,31.8,22
Reshanda Gray,LAS,paint,missed,3,missed,0,3
Riquna Williams,LAS,paint,missed,9,missed,55,20
Ruthy Hebard,CHI,paint,missed,13,missed,58.1,31
Sabrina Ionescu,NYL,paint,missed,6,missed,50,12
Sami Whitcomb,SEA,paint,missed,12,missed,42.9,21
Satou Sabally,DAL,paint,missed,37,missed,38.3,60
Seimone Augustus,LAS,paint,missed,8,missed,42.9,14
Shatori Walker-Kimbrough,PHO,paint,missed,16,missed,38.5,26
Shekinna Stricklen,ATL,paint,missed,8,missed,38.5,13
Shenise Johnson,MIN,paint,missed,20,missed,33.3,30
Shey Peddy,PHO,paint,missed,7,missed,53.3,15
Skylar Diggins-Smith,PHO,paint,missed,35,missed,50,70
Sophie Cunningham,PHO,paint,missed,5,missed,61.5,13
Stefanie Dolson,CHI,paint,missed,9,missed,43.8,16
Stella Johnson,WAS,paint,missed,7,missed,22.2,9
Stephanie Mavunga,CHI,paint,missed,6,missed,40,10
Sue Bird,SEA,paint,missed,1,missed,75,4
Sug Sutton,WAS,paint,missed,5,missed,16.7,6
Sugar Rodgers,LVA,paint,missed,7,missed,30,10
Sydney Colson,CHI,paint,missed,5,missed,37.5,8
Sydney Wiese,LAS,paint,missed,7,missed,22.2,9
Sylvia Fowles,MIN,paint,missed,13,missed,55.2,29
Te'a Cooper,LAS,paint,missed,16,missed,42.9,28
Teaira Mccowan,IND,paint,missed,40,missed,45.9,74
Theresa Plaisance,CON,paint,missed,2,missed,66.7,6
Tianna Hawkins,WAS,paint,missed,19,missed,36.7,30
Tierra Ruffin-Pratt,LAS,paint,missed,10,missed,9.1,11
Tiffany Mitchell,IND,paint,missed,26,missed,40.9,44
Tyasha Harris,DAL,paint,missed,12,missed,53.8,26
Victoria Vivians,IND,paint,missed,4,missed,50,8
A'ja Wilson,LVA,mid,missed,79,missed,35.2,122
Aerial Powers,WAS,mid,missed,13,missed,40.9,22
Alaina Coates,WAS,mid,missed,2,missed,33.3,3
Alanna Smith,PHO,mid,missed,5,missed,50,10
Alexis Jones,ATL,mid,missed,1,missed,50,2
Alexis Prince,CHI,mid,missed,1,missed,0,1
Alisia Jenkins,PHO,mid,missed,1,missed,50,2
Allie Quigley,CHI,mid,missed,45,missed,53.1,96
Allisha Gray,DAL,mid,missed,19,missed,29.6,27
Alysha Clark,SEA,mid,missed,8,missed,42.9,14
Alyssa Thomas,CON,mid,missed,7,missed,50,14
Amanda Zahui B,NYL,mid,missed,26,missed,21.2,33
Angel Mccoughtry,LVA,mid,missed,37,missed,39.3,61
Ariel Atkins,WAS,mid,missed,50,missed,45.1,91
Arike Ogunbowale,DAL,mid,missed,73,missed,35.4,113
Astou Ndour,DAL,mid,missed,13,missed,13.3,15
Avery Warley-Talbert,LVA,mid,missed,0,missed,0,0
Azur¡ Stevens,CHI,mid,missed,15,missed,34.8,23
Beatrice Mompremier,CON,mid,missed,8,missed,33.3,12
Bella Alarie,DAL,mid,missed,3,missed,40,5
Betnijah Laney,ATL,mid,missed,56,missed,34.9,86
Blake Dietrick,ATL,mid,missed,8,missed,27.3,11
Breanna Stewart,SEA,mid,missed,47,missed,32.9,70
Bria Hartley,PHO,mid,missed,28,missed,26.3,38
Bria Holmes,CON,mid,missed,10,missed,23.1,13
Briann January,CON,mid,missed,21,missed,32.3,31
Brianna Turner,PHO,mid,missed,7,missed,30,10
Bridget Carleton,MIN,mid,missed,7,missed,56.3,16
Brionna Jones,CON,mid,missed,23,missed,28.1,32
Brittany Brewer,ATL,mid,missed,1,missed,50,2
Brittney Griner,PHO,mid,missed,21,missed,44.7,38
Brittney Sykes,LAS,mid,missed,17,missed,45.2,31
Candace Parker,LAS,mid,missed,25,missed,28.6,35
Candice Dupree,IND,mid,missed,74,missed,41.3,126
Carolyn Swords,LVA,mid,missed,9,missed,18.2,11
Chelsea Gray,LAS,mid,missed,63,missed,41.1,107
Chennedy Carter,ATL,mid,missed,41,missed,38.8,67
Cheyenne Parker,CHI,mid,missed,10,missed,44.4,18
Cierra Burdick,LVA,mid,missed,5,missed,16.7,6
Courtney Vandersloot,CHI,mid,missed,13,missed,59.4,32
Courtney Williams,ATL,mid,missed,98,missed,44.6,177
Crystal Dangerfield,MIN,mid,missed,25,missed,46.8,47
Crystal Langhorne,SEA,mid,missed,2,missed,33.3,3
Damiris Dantas,MIN,mid,missed,22,missed,35.3,34
Danielle Robinson,LVA,mid,missed,17,missed,43.3,30
Dewanna Bonner,CON,mid,missed,50,missed,37.5,80
Dearica Hamby,LVA,mid,missed,15,missed,11.8,17
Diamond Deshields,CHI,mid,missed,13,missed,40.9,22
Diana Taurasi,PHO,mid,missed,18,missed,52.6,38
Elizabeth Williams,ATL,mid,missed,10,missed,0,10
Emma Cannon,LVA,mid,missed,NA,missed,NA,NA
Emma Meesseman,WAS,mid,missed,42,missed,42.5,73
Epiphanny Prince,SEA,mid,missed,5,missed,58.3,12
Erica Mccall,MIN,mid,missed,10,missed,28.6,14
Essence Carson,CON,mid,missed,18,missed,35.7,28
Ezi Magbegor,SEA,mid,missed,5,missed,37.5,8
Gabby Williams,CHI,mid,missed,15,missed,42.3,26
Glory Johnson,ATL,mid,missed,10,missed,33.3,15
Isabelle Harrison,DAL,mid,missed,15,missed,34.8,23
